2018-05-27 19:11:42,748 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-05-27 19:16:10,705 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: KeywordDrivenFramework:KeywordDrivenFramework:0.0.1-SNAPSHOT @ C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\pom.xml.
2018-05-27 19:16:11,080 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 19:16:11,087 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-27 19:16:11,101 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 19:16:11,103 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\test\resources
2018-05-27 19:16:11,111 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /KeywordDrivenFramework/src
2018-05-27 19:16:11,112 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /KeywordDrivenFramework/src overlaps with sources folder /KeywordDrivenFramework/src
2018-05-27 19:16:11,115 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /KeywordDrivenFramework/src/test/java because it overlaps with /KeywordDrivenFramework/src
2018-05-27 19:16:11,280 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-05-27 19:16:11,663 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: KeywordDrivenFramework:KeywordDrivenFramework:0.0.1-SNAPSHOT @ C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\pom.xml.
2018-05-27 19:16:12,010 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /KeywordDrivenFramework/src
2018-05-27 19:16:12,010 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /KeywordDrivenFramework/src overlaps with sources folder /KeywordDrivenFramework/src
2018-05-27 19:16:12,013 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /KeywordDrivenFramework/src/test/java because it overlaps with /KeywordDrivenFramework/src
2018-05-27 19:16:12,081 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2018-05-27 19:16:12,462 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 19:16:12,464 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-27 19:16:12,473 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 19:16:12,473 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\test\resources
2018-05-27 19:17:08,571 [Worker-14] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
